decade_born,sex,n,tag
Jan 1 1510,male,10,1510
Jan 1 1520,male,15,1520
Jan 1 1530,male,15,1530
Jan 1 1540,male,13,1540
Jan 1 1550,male,20,1550
Jan 1 1560,male,22,1560
Jan 1 1570,male,15,1570
Jan 1 1580,male,32,1580
Jan 1 1590,male,23,1590
Jan 1 1600,male,30,1600
Jan 1 1610,male,28,1610
Jan 1 1620,male,35,1620
Jan 1 1630,male,20,1630
Jan 1 1640,male,23,1640
Jan 1 1650,male,22,1650
Jan 1 1660,male,19,1660
Jan 1 1670,male,17,1670
Jan 1 1680,male,23,1680
Jan 1 1690,male,23,1690
Jan 1 1700,male,38,1700
Jan 1 1710,male,29,1710
Jan 1 1720,male,14,1720
Jan 1 1730,male,42,1730
Jan 1 1740,male,34,1740
Jan 1 1750,male,42,1750
Jan 1 1760,male,42,1760
Jan 1 1770,male,48,1770
Jan 1 1780,male,36,1780
Jan 1 1790,male,69,1790
Jan 1 1800,male,76,1800
Jan 1 1810,male,80,1810
Jan 1 1820,male,99,1820
Jan 1 1830,male,116,1830
Jan 1 1840,male,135,1840
Jan 1 1850,male,155,1850
Jan 1 1860,male,185,1860
Jan 1 1870,male,205,1870
Jan 1 1880,male,267,1880
Jan 1 1890,male,241,1890
Jan 1 1900,male,436,1900
Jan 1 1910,male,513,1910
Jan 1 1920,male,668,1920
Jan 1 1930,male,736,1930
Jan 1 1940,male,889,1940
Jan 1 1950,male,586,1950
Jan 1 1960,male,315,1960
Jan 1 1970,male,144,1970
Jan 1 1980,male,35,1980
Jan 1 1990,male,6,1990
Jan 1 2000,male,1,2000
Jan 1 1510,female,0,1510
Jan 1 1520,female,0,1520
Jan 1 1530,female,0,1530
Jan 1 1540,female,0,1540
Jan 1 1550,female,1,1550
Jan 1 1560,female,0,1560
Jan 1 1570,female,0,1570
Jan 1 1580,female,0,1580
Jan 1 1590,female,0,1590
Jan 1 1600,female,0,1600
Jan 1 1610,female,0,1610
Jan 1 1620,female,0,1620
Jan 1 1630,female,0,1630
Jan 1 1640,female,2,1640
Jan 1 1650,female,0,1650
Jan 1 1660,female,0,1660
Jan 1 1670,female,0,1670
Jan 1 1680,female,1,1680
Jan 1 1690,female,0,1690
Jan 1 1700,female,3,1700
Jan 1 1710,female,1,1710
Jan 1 1720,female,2,1720
Jan 1 1730,female,0,1730
Jan 1 1740,female,0,1740
Jan 1 1750,female,2,1750
Jan 1 1760,female,0,1760
Jan 1 1770,female,1,1770
Jan 1 1780,female,1,1780
Jan 1 1790,female,0,1790
Jan 1 1800,female,0,1800
Jan 1 1810,female,1,1810
Jan 1 1820,female,0,1820
Jan 1 1830,female,3,1830
Jan 1 1840,female,4,1840
Jan 1 1850,female,8,1850
Jan 1 1860,female,15,1860
Jan 1 1870,female,20,1870
Jan 1 1880,female,20,1880
Jan 1 1890,female,30,1890
Jan 1 1900,female,42,1900
Jan 1 1910,female,46,1910
Jan 1 1920,female,46,1920
Jan 1 1930,female,59,1930
Jan 1 1940,female,89,1940
Jan 1 1950,female,62,1950
Jan 1 1960,female,56,1960
Jan 1 1970,female,39,1970
Jan 1 1980,female,16,1980
Jan 1 1990,female,3,1990
Jan 1 2000,female,0,2000
